Celebrity Name,Wikipedia Summary,Personal Life,Image URL
Aaron Taylor-Johnson,"Aaron Perry Taylor-Johnson (né Johnson; born 13 June 1990) is an English actor. He is known for his portrayal of the title character in Kick-Ass (2010) and its 2013 sequel, as well as the Marvel Cinematic Universe character Pietro Maximoff in Avengers: Age of Ultron (2015).
Taylor-Johnson began performing as a child and appeared in films including Shanghai Knights (2003), The Illusionist (2006), and Angus, Thongs and Perfect Snogging (2008). He had his breakthrough performance as John Lennon in the biopic Nowhere Boy (2009), directed by Sam Taylor-Johnson, whom he married in 2012. He followed this with roles in the crime thriller Savages (2012), period drama Anna Karenina (2012), and monster film Godzilla (2014).
For his performance as a psychopathic drifter in the thriller film Nocturnal Animals (2016), Taylor-Johnson won the Golden Globe Award for Best Supporting Actor – Motion Picture and earned a nomination for the BAFTA Award for Best Actor in a Supporting Role. He has since appeared in the action films Tenet (2020) and Bullet Train (2022).","After Johnson met filmmaker Sam Taylor-Wood in 2009 on the set of their film Nowhere Boy, when he was 18 and she was 42, the two began dating and were married in the chapel at Babington House on 21 June 2012. They subsequently changed both their surnames to Taylor-Johnson. They have two daughters, and he is a stepfather to her two daughters from a previous marriage.Taylor-Johnson was named one of GQ's 50 best dressed British men in 2015. In a 2019 interview with GQ Australia, he defined his style as elegant and ""timeless."" Taylor-Johnson lives with his wife and their four daughters on a farm near Bruton, Somerset, and he is an avid vegetable farmer.
",https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Aaron_Taylor-Johnson_SDCC_2014_%28cropped%29.jpg/300px-Aaron_Taylor-Johnson_SDCC_2014_%28cropped%29.jpg
Abigail Breslin,"Abigail Breslin (born April 14, 1996) is an American actress. She rose to prominence with the comedy-drama film Little Miss Sunshine (2006), for which she received a nomination for the Academy Award for Best Supporting Actress at age 10. Breslin went on to establish herself as a mainstream actress with roles in the films No Reservations (2007), Nim's Island (2008), Definitely, Maybe (2008), My Sister's Keeper (2009), Zombieland (2009), Rango (2011), The Call (2013), August: Osage County (2013), Maggie (2015), Freak Show (2017), Zombieland: Double Tap (2019), and Stillwater (2021). Between 2015 and 2016, she had a starring role in the horror-comedy series Scream Queens on Fox, her first regular role in a television series.","In April 2017, Breslin stated that an ex-boyfriend had raped her, and she had since been diagnosed with PTSD. She explained that she did not report being raped at the time because she ""was in complete shock and total denial"", ""feared not being believed"" by the police, worried about revenge by the assailant if he found out and concerned about him hurting her family. She continues to advocate against sexual assault.Her father, Michael, died at age 78 on February 26, 2021, of complications related to COVID-19.In February 2022, Breslin revealed on Instagram that she was engaged to her longtime boyfriend Ira Kunyansky. They married on January 28, 2023.
",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Abigail_Breslin_by_Gage_Skidmore.jpg/300px-Abigail_Breslin_by_Gage_Skidmore.jpg
Adam Sandler,"Adam Richard Sandler (born September 9, 1966) is an American actor and comedian. Primarily a comedic leading actor in films, his accolades include nominations for three Grammy Awards, five Primetime Emmy Awards, a Golden Globe Award, and a Screen Actors Guild Award. In 2023, Sandler was awarded the Mark Twain Prize for American Humor.
Sandler was a cast member on the NBC sketch comedy series Saturday Night Live from 1990 to 1995. He returned to Saturday Night Live as a host in 2019 earning a Primetime Emmy Award nomination. He has starred in Hollywood comedy films that cumulatively grossed over $2 billion worldwide. Sandler had an estimated net worth of $420 million in 2020, and signed a new four-movie deal with Netflix worth over $250 million.Sandler's comedic roles include Billy Madison (1995), Happy Gilmore (1996), The Waterboy (1998), The Wedding Singer (1998), Big Daddy (1999), Mr. Deeds (2002), 50 First Dates (2004), The Longest Yard (2005), Click (2006), Grown Ups (2010), Just Go with It (2011), Grown Ups 2 (2013), Blended (2014), Murder Mystery (2019) and Hubie Halloween (2020). He also received praise for his dramatic roles in Punch-Drunk Love (2002), The Meyerowitz Stories (2017), Uncut Gems (2019), and Hustle (2022). He also voiced Dracula in the first three films of the Hotel Transylvania franchise (2012–2018).
Several Sandler comedies, such as Jack and Jill (2011), have been panned, resulting in nine Golden Raspberry Awards and 37 Raspberry Award nominations, more than any actor except Sylvester Stallone.","Sandler has been married to Jacqueline ""Jackie"" Sandler (née Titone) since 2003. She converted to Sandler's religion, Judaism. The couple have two daughters, Sadie (born May 2006) and Sunny (born November 2008). Sandler's wife and children often appear in his films. Adam's nephew Jared has also been featured in his films, such as Pixels and Home Team.In 2007, Sandler made a $1 million donation to the Boys & Girls Clubs of America in Manchester, New Hampshire.Sandler has not publicly discussed his political leanings. It has been reported that he is registered to vote as a Republican. He performed at the 2004 Republican National Convention, and he contributed $2,100 to Rudy Giuliani's 2008 presidential campaign (the maximum amount allowed at the time).
",https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Adam_Sandler_at_Berlinale_2024.jpg/300px-Adam_Sandler_at_Berlinale_2024.jpg
Adele,"Adele Laurie Blue Adkins  (; born 5 May 1988), known mononymously  as Adele, is an English singer-songwriter. She is known for her mezzo-soprano vocals and sentimental songwriting. Adele has received numerous accolades including 16 Grammy Awards, 
12 Brit Awards (including three for British Album of the Year), an Academy Award, a Primetime Emmy Award, and a Golden Globe Award. 
After graduating in arts from the BRIT School in 2006, Adele signed a record deal with XL Recordings. Her debut album, 19, was released in 2008 and included the UK top-five singles ""Chasing Pavements"" and ""Make You Feel My Love"". 19 has sold over 2.5 million copies in the UK and was named in the top 20 best-selling debut albums of all time in the UK. She was honoured with the Grammy Award for Best New Artist. Adele released her second studio album, 21, in 2011. It became the world's best-selling album of the 21st century, with sales of over 31 million. 21 holds the record for the top-performing album in US chart history, topping the Billboard 200 for 24 weeks, with the singles ""Rolling in the Deep"", ""Someone like You"", and ""Set Fire to the Rain"" heading charts worldwide, becoming her signature songs. The album received a record-tying six Grammy Awards, including Album of the Year. In 2012, Adele released ""Skyfall"", a soundtrack single for the James Bond film Skyfall, which won her the Academy Award for Best Original Song.
Adele's third studio album, 25, was released in 2015, breaking first-week sales records in the UK and US. In the US, it remains the only album to sell over three million copies in a week. 25 earned her five Grammy Awards, including the Album of the Year. The lead single, ""Hello"", achieved huge success worldwide. Her fourth studio album, 30, released in 2021, contains the chart-topping and Grammy-winning single ""Easy on Me"". 25 and 30 became the best-selling albums worldwide, including the US and the UK, in 2015 and 2021, respectively. As of 2023, all of her studio albums, except 19, have topped the yearly best-selling albums chart worldwide in the 21st century.
Adele is one of the world's best-selling music artists, with sales of over 120 million records worldwide. The best-selling female artist of the 21st century in the UK, she was named the best-selling artist of the 2010s in the US and worldwide. Her studio albums 21 and 25 were the top two best-selling albums of the 2010s in the UK and both are listed among the best-selling albums in UK chart history, while in the US both are certified Diamond, the most of any artist who debuted in the 21st century.","In 2011, Adele began a relationship with charity entrepreneur Simon Konecki. Their son was born in 2012. On the topic of becoming a parent, Adele said she ""felt like I was truly living. I had a purpose, where before I didn't"". Adele and Konecki brought a privacy case against a UK-based photo agency that published intrusive paparazzi images of their son taken during family outings in 2013. Lawyers working on their behalf accepted damages from the company in July 2014. Adele has also opened up about suffering from postnatal depression, anxiety, and panic attacks.In early 2017, tabloids started speculating that Adele and Konecki had secretly married when they were spotted wearing matching rings on their ring fingers. During her acceptance speech at the 59th Annual Grammy Awards for Album of the Year, Adele seemed to have confirmed these reports by referring to Konecki as ""my husband"" when thanking him. She repeated this in March 2017, telling the audience at a concert in Brisbane, Australia, ""I'm married now"". However, in a 2021 interview with British Vogue, she revealed that they actually married in 2018, and separated the same year. During this time, Adele became a stay-at-home mother. In April 2019, Adele's representatives confirmed the separation via Associated Press, and affirmed that she and Konecki would continue to raise their son together. On 13 September 2019, Adele filed for divorce from Konecki, with it being finalised on 4 March 2021. In 2021, Adele entered into a relationship with American sports agent Rich Paul.In 2015, Adele said, ""I'm a feminist, I believe that everyone should be treated the same, including race and sexuality"". Supportive of the LGBT community, on 12 June 2016, an emotional Adele dedicated her show in Antwerp, Belgium, to the victims of the mass shooting at a gay nightclub in Orlando, Florida, United States, earlier that day, adding, ""The LGBTQ community, they're like my soul mates since I was really young, so I'm very moved by it.""In April 2018, it was widely reported that Adele had become an ordained minister in order to officiate at close friend comedian Alan Carr's wedding to Paul Drayton, something which Adele herself subsequently confirmed. The wedding, held in January 2018, took place in the garden of her house in Los Angeles, California.On 14 October 2023, during a concert of her Weekends with Adele residency, the singer revealed that she had suffered from ""borderline alcoholism"" since her 20s, and that she had been sober for three months.
",https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Adele_for_Vogue_in_2021.png/300px-Adele_for_Vogue_in_2021.png
Adriana Barraza,Adriana Barraza González (born 5 March 1956) is a Mexican actress. She was nominated for the Academy Award for Best Supporting Actress for her performance in Babel (2006).,"She became pregnant at age 18 with her daughter, actress Carolina Valsagna (b. 1975). The father of her daughter is not known, as he abandoned her. Her first husband was Carlos Valsagna, whom she married in 1978, and he adopted her daughter and gave her his name. Her second husband is Arnaldo Pipke. Barraza studied acting through the Fine Arts School at Autonomous University of Chihuahua.
",https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Adriana_Barraza_adj.jpg/300px-Adriana_Barraza_adj.jpg
Adrianne Palicki,"Adrianne Lee Palicki ( pə-LEE-ki; born May 6, 1983) is an American actress and model. She is best known for her starring roles as Tyra Collette in the NBC sports drama series Friday Night Lights (2006–2011), as Bobbi Morse in the ABC superhero drama series Agents of S.H.I.E.L.D. (2014–2016), and as Commander Kelly Grayson in the Fox/Hulu science fiction comedy-drama series The Orville (2017–2022).Palicki also had supporting roles in the films Legion (2010), Red Dawn (2012), G.I. Joe: Retaliation (2013), and John Wick (2014).","Palicki has celiac disease. In September 2014, her representative confirmed that she was engaged to stuntman Jackson Spidell, whom she met on the set of John Wick. At the San Diego Comic-Con in 2018, it was revealed that she was dating The Orville co-star Scott Grimes. The two announced their engagement in January 2019 and married on May 19, 2019, in Austin, Texas. She filed for divorce two months later on July 22, 2019. In mid-November of that year, a judge granted Palicki's request to dismiss the filing. Palicki filed for divorce for the second time on July 16, 2020.
",https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Adrianne_Palicki_2014.jpg/300px-Adrianne_Palicki_2014.jpg
Adrien Brody,"Adrien Nicholas Brody (born April 14, 1973) is an American actor. He is known for his portrayal of Władysław Szpilman in Roman Polanski's war drama The Pianist (2002), for which he won the Academy Award for Best Actor at age 29, becoming the youngest actor to win in that category. He also became the second American male actor to win the César Award for Best Actor for the same film. He has starred in several other films and has received several other awards including nominations for a Golden Globe Award and a Primetime Emmy Award.
Brody has also starred in The Thin Red Line (1998), The Village (2004), King Kong (2005), Hollywoodland (2006), Cadillac Records (2008), Predators (2010) and See How They Run (2022). He has frequently collaborated with filmmaker Wes Anderson, appearing in his films The Darjeeling Limited (2007), Fantastic Mr. Fox (2009), The Grand Budapest Hotel (2014), The French Dispatch (2021), and Asteroid City (2023). He portrayed Salvador Dali in Woody Allen's Midnight in Paris (2011), and Arthur Miller in Andrew Dominik's Blonde (2022).
In television, he has played Luca Changretta in the fourth season of the BBC series Peaky Blinders (2017), and Pat Riley in the HBO sports drama series Winning Time: The Rise of the Lakers Dynasty (2022–2023). He earned Primetime Emmy Award nominations for his roles as Harry Houdini in the History Channel miniseries Houdini (2014), and investor Josh Aaronson in the HBO series Succession (2021).","In 1992, Brody was seriously hurt in a motorcycle accident in which he was thrown over a car and crashed head-first into a crosswalk. He spent months recuperating. He has broken his nose three times doing stunts, including during the filming of Summer of Sam.Brody began dating Spanish actress and model Elsa Pataky in 2006. For Pataky's 31st birthday in July 2007, Brody purchased for her a 19th-century farm in Central New York state that was remodeled to look like a castle. Brody and Pataky were featured at their New York home in a 35-page spread for HELLO! magazine in October 2008. The pair broke up in 2009.In 2010, Brody sued makers of the film Giallo, alleging they failed to pay his full salary.In February 2020, it was reported that he was in a relationship with English fashion designer and actress Georgina Chapman.
",https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Adrien_Brody-61584.jpg/300px-Adrien_Brody-61584.jpg
Al Pacino,"Alfredo James Pacino ( pə-CHEE-noh; Italian: [paˈtʃiːno]; born April 25, 1940) is an American actor. Considered one of the greatest and most influential actors of the 20th century, Pacino has received numerous accolades including an Academy Award, two Tony Awards, and two Primetime Emmy Awards achieving the Triple Crown of Acting. He also received four Golden Globe Awards, a BAFTA, two Screen Actors Guild Awards and been honored with the Cecil B. DeMille Award in 2001, the AFI Life Achievement Award in 2007, the National Medal of Arts in 2011, and the Kennedy Center Honors in 2016.A method actor, Pacino studied at HB Studio and the Actors Studio, where he was taught by Charlie Laughton and Lee Strasberg. Pacino went on to receive the Academy Award for Best Actor for his role in Scent of a Woman (1992). His other Oscar-nominated roles include The Godfather (1972), Serpico (1973), The Godfather Part II (1974), Dog Day Afternoon (1975), ...And Justice for All (1979), Dick Tracy (1990), Glengarry Glen Ross (1992), and The Irishman (2019). He also acted in The Panic in Needle Park (1971), Scarecrow (1973), Cruising (1980), Scarface (1983), The Godfather Part III (1990), Carlito's Way (1993), Heat (1995), Donnie Brasco (1997), The Devil's Advocate (1997), The Insider (1999), Any Given Sunday (1999), Insomnia (2002), Ocean's Thirteen (2007), Once Upon a Time in Hollywood (2019), and House of Gucci (2021).
On television, Pacino has acted in several productions for HBO, including Angels in America (2003) and the Jack Kevorkian biopic You Don't Know Jack (2010), winning a Primetime Emmy Award for Outstanding Lead Actor in a Miniseries or a Movie for each. Pacino starred in the Amazon Prime Video series Hunters (2020–23). He has also had an extensive career on stage. He is a two-time Tony Award winner, winning Best Featured Actor in a Play in Does a Tiger Wear a Necktie? (1969) and Best Actor in a Play for The Basic Training of Pavlo Hummel (1977).
Pacino made his directing debut with the documentary Looking for Richard (1996); Pacino had played the lead role on stage in 1977. He has also acted as Shylock in a 2004 feature film adaptation and 2010 stage production of The Merchant of Venice. Pacino directed and starred in Chinese Coffee (2000), Wilde Salomé (2011), and Salomé (2013). Since 1994, he has been the joint president of the Actors Studio.","
Pacino has four children. The eldest, Julie Marie (born October 16, 1989), is his daughter with acting coach Jan Tarrant. He has twins, son Anton James and daughter Olivia Rose (born January 25, 2001), with actress Beverly D'Angelo, with whom he had a relationship from 1997 until 2003. He has a son, Roman (born June 15, 2023) with his producer girlfriend Noor Alfallah, who is 54 years younger than he is. Pacino, at age 83, is one of the oldest fathers on record. He has never been married.Pacino had a relationship with his The Godfather Trilogy co-star Diane Keaton. Their on-again, off-again relationship ended after the filming of The Godfather Part III. Keaton said of Pacino, ""Al was simply the most entertaining man... To me, that's, that is the most beautiful face. I think Warren [Beatty] was gorgeous, very pretty, but Al's face is like whoa. Killer, killer face."" He has had relationships with Jill Clayburgh, Tuesday Weld, Marthe Keller, Veruschka von Lehndorff, Kathleen Quinlan, Lyndall Hobbs, and Penelope Ann Miller. Pacino had a ten-year relationship with Argentine actress Lucila Polak from 2008 to 2018.
Pacino has admitted to abusing drugs and alcohol early in his career, partly because he found his sudden fame after The Godfather difficult to cope with. He achieved sobriety in 1977.
",https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Al_Pacino_2016_%2830401544240%29.jpg/300px-Al_Pacino_2016_%2830401544240%29.jpg
Alan Alda,"Alan Alda (; born Alphonso Joseph D'Abruzzo; January 28, 1936) is an American actor, author, screenwriter, podcast host and director. A six-time Emmy Award and Golden Globe Award winner and a three-time Tony Award nominee, he is best known for playing Captain Benjamin Franklin ""Hawkeye"" Pierce in the CBS wartime sitcom M*A*S*H (1972–1983). He also wrote and directed numerous episodes of the series.
After starring in the films Same Time, Next Year (1978), California Suite (1978), and The Seduction of Joe Tynan (1979), he made his directorial film debut The Four Seasons (1981). Alda was nominated for the Academy Award for Best Supporting Actor for his portrayal of Owen Brewster in Martin Scorsese's The Aviator (2004). Other notable film roles include in Crimes and Misdemeanors (1989), Manhattan Murder Mystery (1993), Everyone Says I Love You (1996), Flirting with Disaster (1996), Tower Heist (2011), Bridge of Spies (2015), and Marriage Story (2019).
Alda won the Primetime Emmy Award for Outstanding Supporting Actor in a Drama Series for his role as Senator Arnold Vinick in the NBC series The West Wing. Other Emmy-nominated roles include in And the Band Played On in 1993, ER in 2000, 30 Rock in 2009, and The Blacklist in 2015. He also had recurring roles in The Big C (2011–2013), Horace and Pete (2016), Ray Donovan (2018–2020), and The Good Fight (2018–2019).
Alda is also known for his roles on Broadway acting in Purlie Victorious (1961) and receiving three Tony Award nominations for his performances in The Apple Tree (1967), Jake's Women (1992), and Glengarry Glen Ross (2005). In 2008 he received a Grammy Award for Best Audio Book, Narration & Storytelling Recording nomination for Things I Overheard While Talking to Myself. In 2019, Alda received the Screen Actors Guild Life Achievement Award. He hosts the podcast Clear+Vivid with Alan Alda and previously hosted Science Clear + Vivid.","In 1956, while attending Fordham, Alda met Arlene Weiss, who was attending Hunter College. They bonded at a mutual friend's dinner party; when a rum cake accidentally fell onto the kitchen floor, they were the only two guests who did not hesitate to eat it. He addressed the incident saying ""We did eat the rum cake off the floor and were inseparable after that. But I was captivated by her even earlier in the meal when I heard her at the end of the table laughing at my jokes. She had me at Ha."" A year after his graduation, on March 15, they were married. They have three daughters: Eve, Elizabeth, and Beatrice. Two of his eight grandchildren are aspiring actors. Arlene sometimes calls him ""Fonzi"" in reference to his birth name ""Alphonso"".
The Aldas were long-time residents of Leonia, New Jersey. Alda frequented Sol & Sol Deli on Palisade Avenue in the nearby town of Englewood, New Jersey—a fact mirrored in his character's daydream about eating whitefish from the establishment in an episode of M*A*S*H in which Hawkeye sustains a head injury.In Things I Overheard While Talking to Myself, Alda described how as a teen he was raised as a Roman Catholic and eventually he realized he had begun thinking like an agnostic or atheist. While he states that he still prays on occasion, he said he wants to find meaning in this life rather than worrying about the next one. He states that when he talks to God it often comes at times of fear rather than out of a sense of belief. Furthermore, he does not like to be labeled as an agnostic, stating in an interview for the 2008 question section of the Edge Foundation website, that it was too fancy a word for him. He argues he simply is not a believer and questions why people are so frightened of others who hold beliefs different from their own.On July 31, 2018, Alda appeared on CBS This Morning and announced he had been diagnosed with Parkinson's disease three years earlier.
",https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Alan_Alda_2015.jpg/300px-Alan_Alda_2015.jpg
Alan Arkin,"Alan Wolf Arkin (March 26, 1934 – June 29, 2023) was an American actor and filmmaker. In a career spanning seven decades, he received numerous accolades, including an Academy Award, a BAFTA Award, a Golden Globe Award, and a Tony Award as well as nominations for six Emmy Awards.
Arkin performed in the sketch comedy group The Second City before acting on the Broadway stage, starring as David Kolowitz in the Joseph Stein play Enter Laughing in 1963, for which he won the Tony Award for Best Featured Actor in a Play. He returned to Broadway acting in the comedic play Luv (1964), and directed Neil Simon's The Sunshine Boys (1971), for which he received a Tony Award nomination.
Arkin gained stardom with his roles in many films, including Russians Are Coming (1966), Woman Times Seven Wait Until Dark (Both in 1967), Inspector Clouseau and The Heart is a Lonely Hunter (Both in 1968), Popi (1969), Catch-22 (1970), Freebie and the Bean (1974), Hearts of the West (1975), The Seven-Per-Cent Solution (1976), The In-Laws (1979), Simon (1980), Chu Chu and the Philly Flash (1981), and Big Trouble (1986). Later, he took on supporting roles in many films, including Edward Scissorhands (1990), The Rocketeer (1991), Glengarry Glen Ross (1992), Indian Summer (1993), North (1994), Grosse Pointe Blank and Gattaca (Both in 1997), Slums of Beverly Hills (1998), Jakob the Liar (1999), America's Sweethearts and Thirteen Conversations About One Thing (Both in 2001), Firewall (2006), Rendition (2007), Sunshine Cleaning and Get Smart (Both in 2008), Marley & Me, The Private Lives of Pippa Lee, and City Island (All in 2009), The Change-Up (2011), Argo and Stand Up Guys (Both in 2012), The Incredible Burt Wonderstone and Grudge Match (Both in 2013), Million Dollar Arm (2014), Love the Coopers (2015), Going in Style (2017), Dumbo (2019), and Spenser Confidential (2020). His television roles included Leon Felhendler in Escape from Sobibor (1987), and as Harry Rowen in The Pentagon Papers (2003) for which he earned Emmy nominations respectively for Outstanding Lead Actor in a Limited Series or Movie and Outstanding Supporting Actor in a Limited Series or Movie. Arkin also directed three films, including the two comedy films Little Murders (1971) and Fire Sale (1977). For his performance, Arkin starred as a foul-mouthed grandfather Edwin Hoover in Little Miss Sunshine (2006), which he won the Academy Award for Best Supporting Actor.Arkin was voiced as Schmendrick in The Last Unicorn (1982), as J. D. Salinger in the Netflix animated series BoJack Horseman (2015–16), and as Wild Knuckles in Minions: The Rise of Gru (2022).
From 2018 to 2019 alongside his co-star Michael Douglas, Arkin starred as a talent agent Norman Newlander (named after his second wife Suzanne's surname) in the Netflix comedy series The Kominsky Method, earning two consecutive nominations for the Primetime Emmy Award for Outstanding Supporting Actor in a Comedy Series.Arkin died of cardiac arrest at his home in San Diego, California, on June 29, 2023, at the age of 89.",No 'Personal Life' section available.,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Alan_Arkin_-_1975.jpg/300px-Alan_Arkin_-_1975.jpg
