Celebrity Name,Wikipedia Summary,Image URL,gender,profession
Aaron Taylor-Johnson,"Aaron Perry Taylor-Johnson (né Johnson; born 13 June 1990) is an English actor. He is known for his portrayal of the title character in Kick-Ass (2010) and its 2013 sequel, as well as the Marvel Cinematic Universe character Pietro Maximoff in Avengers: Age of Ultron (2015).
Taylor-Johnson began performing as a child and appeared in films including Shanghai Knights (2003), The Illusionist (2006), and Angus, Thongs and Perfect Snogging (2008). He had his breakthrough performance as John Lennon in the biopic Nowhere Boy (2009), directed by Sam Taylor-Johnson, whom he married in 2012. He followed this with roles in the crime thriller Savages (2012), period drama Anna Karenina (2012), and monster film Godzilla (2014).
For his performance as a psychopathic drifter in the thriller film Nocturnal Animals (2016), Taylor-Johnson won the Golden Globe Award for Best Supporting Actor – Motion Picture and earned a nomination for the BAFTA Award for Best Actor in a Supporting Role. He has since appeared in the action films Tenet (2020) and Bullet Train (2022).",https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Aaron_Taylor-Johnson_SDCC_2014_%28cropped%29.jpg/300px-Aaron_Taylor-Johnson_SDCC_2014_%28cropped%29.jpg,male,English actor
Abigail Breslin,"Abigail Breslin (born April 14, 1996) is an American actress. She rose to prominence with the comedy-drama film Little Miss Sunshine (2006), for which she received a nomination for the Academy Award for Best Supporting Actress at age 10. Breslin went on to establish herself as a mainstream actress with roles in the films No Reservations (2007), Nim's Island (2008), Definitely, Maybe (2008), My Sister's Keeper (2009), Zombieland (2009), Rango (2011), The Call (2013), August: Osage County (2013), Maggie (2015), Freak Show (2017), Zombieland: Double Tap (2019), and Stillwater (2021). Between 2015 and 2016, she had a starring role in the horror-comedy series Scream Queens on Fox, her first regular role in a television series.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Abigail_Breslin_by_Gage_Skidmore.jpg/300px-Abigail_Breslin_by_Gage_Skidmore.jpg,female,American actress
Adam Sandler,"Adam Richard Sandler (born September 9, 1966) is an American actor and comedian. Primarily a comedic leading actor in films, his accolades include nominations for three Grammy Awards, five Primetime Emmy Awards, a Golden Globe Award, and a Screen Actors Guild Award. In 2023, Sandler was awarded the Mark Twain Prize for American Humor.
Sandler was a cast member on the NBC sketch comedy series Saturday Night Live from 1990 to 1995. He returned to Saturday Night Live as a host in 2019 earning a Primetime Emmy Award nomination. He has starred in Hollywood comedy films that cumulatively grossed over $2 billion worldwide. Sandler had an estimated net worth of $420 million in 2020, and signed a new four-movie deal with Netflix worth over $250 million.Sandler's comedic roles include Billy Madison (1995), Happy Gilmore (1996), The Waterboy (1998), The Wedding Singer (1998), Big Daddy (1999), Mr. Deeds (2002), 50 First Dates (2004), The Longest Yard (2005), Click (2006), Grown Ups (2010), Just Go with It (2011), Grown Ups 2 (2013), Blended (2014), Murder Mystery (2019) and Hubie Halloween (2020). He also received praise for his dramatic roles in Punch-Drunk Love (2002), The Meyerowitz Stories (2017), Uncut Gems (2019), and Hustle (2022). He also voiced Dracula in the first three films of the Hotel Transylvania franchise (2012–2018).
Several Sandler comedies, such as Jack and Jill (2011), have been panned, resulting in nine Golden Raspberry Awards and 37 Raspberry Award nominations, more than any actor except Sylvester Stallone.",https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Adam_Sandler_at_Berlinale_2024.jpg/300px-Adam_Sandler_at_Berlinale_2024.jpg,male,American actor and comedian
Adele,"Adele Laurie Blue Adkins  (; born 5 May 1988), known mononymously  as Adele, is an English singer-songwriter. She is known for her mezzo-soprano vocals and sentimental songwriting. Adele has received numerous accolades including 16 Grammy Awards, 
12 Brit Awards (including three for British Album of the Year), an Academy Award, a Primetime Emmy Award, and a Golden Globe Award. 
After graduating in arts from the BRIT School in 2006, Adele signed a record deal with XL Recordings. Her debut album, 19, was released in 2008 and included the UK top-five singles ""Chasing Pavements"" and ""Make You Feel My Love"". 19 has sold over 2.5 million copies in the UK and was named in the top 20 best-selling debut albums of all time in the UK. She was honoured with the Grammy Award for Best New Artist. Adele released her second studio album, 21, in 2011. It became the world's best-selling album of the 21st century, with sales of over 31 million. 21 holds the record for the top-performing album in US chart history, topping the Billboard 200 for 24 weeks, with the singles ""Rolling in the Deep"", ""Someone like You"", and ""Set Fire to the Rain"" heading charts worldwide, becoming her signature songs. The album received a record-tying six Grammy Awards, including Album of the Year. In 2012, Adele released ""Skyfall"", a soundtrack single for the James Bond film Skyfall, which won her the Academy Award for Best Original Song.
Adele's third studio album, 25, was released in 2015, breaking first-week sales records in the UK and US. In the US, it remains the only album to sell over three million copies in a week. 25 earned her five Grammy Awards, including the Album of the Year. The lead single, ""Hello"", achieved huge success worldwide. Her fourth studio album, 30, released in 2021, contains the chart-topping and Grammy-winning single ""Easy on Me"". 25 and 30 became the best-selling albums worldwide, including the US and the UK, in 2015 and 2021, respectively. As of 2023, all of her studio albums, except 19, have topped the yearly best-selling albums chart worldwide in the 21st century.
Adele is one of the world's best-selling music artists, with sales of over 120 million records worldwide. The best-selling female artist of the 21st century in the UK, she was named the best-selling artist of the 2010s decade in the US and worldwide. Her studio albums 21 and 25 were the top two best-selling albums of the 2010s in the UK and both are listed among the best-selling albums in UK chart history, while in the US both are certified Diamond, the most of any artist who debuted in the 21st century.",https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Adele_for_Vogue_in_2021.png/300px-Adele_for_Vogue_in_2021.png,female,English singer-songwriter
Adriana Barraza,Adriana Barraza González (born 5 March 1956) is a Mexican actress. She was nominated for the Academy Award for Best Supporting Actress for her performance in Babel (2006).,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Adriana_Barraza_adj.jpg/300px-Adriana_Barraza_adj.jpg,female,Mexican actress
Adrianne Palicki,"Adrianne Lee Palicki ( pə-LEE-ki; born May 6, 1983) is an American actress and model. She is best known for her starring roles as Tyra Collette in the NBC sports drama series Friday Night Lights (2006–2011), as Bobbi Morse in the ABC superhero drama series Agents of S.H.I.E.L.D. (2014–2016), and as Commander Kelly Grayson in the Fox/Hulu science fiction comedy-drama series The Orville (2017–2022).Palicki also had supporting roles in the films Legion (2010), Red Dawn (2012), G.I. Joe: Retaliation (2013), and John Wick (2014).",https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Adrianne_Palicki_2014.jpg/300px-Adrianne_Palicki_2014.jpg,female,American actress and model
Adrien Brody,"Adrien Nicholas Brody (born April 14, 1973) is an American actor. He is known for his portrayal of Władysław Szpilman in Roman Polanski's war drama The Pianist (2002), for which he won the Academy Award for Best Actor at age 29, becoming the youngest actor to win in that category. He also became the second American male actor to win the César Award for Best Actor for the same film. He has starred in several other films and has received several other awards including nominations for a Golden Globe Award and a Primetime Emmy Award.
Brody has also starred in The Thin Red Line (1998), The Village (2004), King Kong (2005), Hollywoodland (2006), Cadillac Records (2008), Predators (2010) and See How They Run (2022). He has frequently collaborated with filmmaker Wes Anderson, appearing in his films The Darjeeling Limited (2007), Fantastic Mr. Fox (2009), The Grand Budapest Hotel (2014), The French Dispatch (2021), and Asteroid City (2023). He portrayed Salvador Dali in Woody Allen's Midnight in Paris (2011), and Arthur Miller in Andrew Dominik's Blonde (2022).
In television, he has played Luca Changretta in the fourth season of the BBC series Peaky Blinders (2017), and Pat Riley in the HBO sports drama series Winning Time: The Rise of the Lakers Dynasty (2022–2023). He earned Primetime Emmy Award nominations for his roles as Harry Houdini in the History Channel miniseries Houdini (2014), and investor Josh Aaronson in the HBO series Succession (2021).",https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Adrien_Brody-61584.jpg/300px-Adrien_Brody-61584.jpg,male,American actor
Al Pacino,"Alfredo James Pacino ( pə-CHEE-noh; Italian: [paˈtʃiːno]; born April 25, 1940) is an American actor. Considered one of the greatest and most influential actors of the 20th century, Pacino has received numerous accolades: including an Academy Award, two Tony Awards, and two Primetime Emmy Awards achieving the Triple Crown of Acting. He also received four Golden Globe Awards, a BAFTA, two Screen Actors Guild Awards and been honored with the Cecil B. DeMille Award in 2001, the AFI Life Achievement Award in 2007, the National Medal of Arts in 2011, and the Kennedy Center Honors in 2016.A method actor, Pacino studied at HB Studio and the Actors Studio, where he was taught by Charlie Laughton and Lee Strasberg. Pacino went on to receive the Academy Award for Best Actor for his role in Scent of a Woman (1992). His other Oscar-nominated roles include The Godfather (1972), Serpico (1973), The Godfather Part II (1974), Dog Day Afternoon (1975), ...And Justice for All (1979), Dick Tracy (1990), Glengarry Glen Ross (1992), and The Irishman (2019). He also acted in The Panic in Needle Park (1971), Scarecrow (1973), Cruising (1980), Scarface (1983), The Godfather Part III (1990), Carlito's Way (1993), Heat (1995), Donnie Brasco (1997), The Devil's Advocate (1997), The Insider (1999), Any Given Sunday (1999), Insomnia (2002), Ocean's Thirteen (2007), Once Upon a Time in Hollywood (2019), and House of Gucci (2021).
On television, Pacino has acted in several productions for HBO, including Angels in America (2003) and the Jack Kevorkian biopic You Don't Know Jack (2010), winning a Primetime Emmy Award for Outstanding Lead Actor in a Miniseries or a Movie for each. Pacino starred in the Amazon Prime Video series Hunters (2020–23). He has also had an extensive career on stage. He is a two-time Tony Award winner, winning Best Featured Actor in a Play in Does a Tiger Wear a Necktie? (1969) and Best Actor in a Play for The Basic Training of Pavlo Hummel (1977).
Pacino made his directing debut with the documentary Looking for Richard (1996); Pacino had played the lead role on stage in 1977. He has also acted as Shylock in a 2004 feature film adaptation and 2010 stage production of The Merchant of Venice. Pacino directed and starred in Chinese Coffee (2000), Wilde Salomé (2011), and Salomé (2013). Since 1994, he has been the joint president of the Actors Studio.",https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Al_Pacino_2016_%2830401544240%29.jpg/300px-Al_Pacino_2016_%2830401544240%29.jpg,male,American actor
Alan Alda,"Alan Alda (; born Alphonso Joseph D'Abruzzo; January 28, 1936) is an American actor, author, screenwriter, podcast host and director. A six-time Emmy Award and Golden Globe Award winner and a three-time Tony Award nominee, he is best known for playing Captain Benjamin Franklin ""Hawkeye"" Pierce in the CBS wartime sitcom M*A*S*H (1972–1983). He also wrote and directed numerous episodes of the series.
After starring in the films Same Time, Next Year (1978), California Suite (1978), and The Seduction of Joe Tynan (1979), he made his directorial film debut The Four Seasons (1981). Alda was nominated for the Academy Award for Best Supporting Actor for his portrayal of Owen Brewster in Martin Scorsese's The Aviator (2004). Other notable film roles include in Crimes and Misdemeanors (1989), Manhattan Murder Mystery (1993), Everyone Says I Love You (1996), Flirting with Disaster (1996), Tower Heist (2011), Bridge of Spies (2015), and Marriage Story (2019).
Alda won the Primetime Emmy Award for Outstanding Supporting Actor in a Drama Series for his role as Senator Arnold Vinick in the NBC series The West Wing. Other Emmy-nominated roles include in And the Band Played On in 1993, ER in 2000, 30 Rock in 2009, and The Blacklist in 2015. He also had recurring roles in The Big C (2011–2013), Horace and Pete (2016), Ray Donovan (2018–2020), and The Good Fight (2018–2019).
Alda is also known for his roles on Broadway acting in Purlie Victorious (1961) and receiving three Tony Award nominations for his performances in The Apple Tree (1967), Jake's Women (1992), and Glengarry Glen Ross (2005). In 2008 he received a Grammy Award for Best Audio Book, Narration & Storytelling Recording nomination for Things I Overheard While Talking to Myself. In 2019, Alda received the Screen Actors Guild Life Achievement Award. He hosts the podcast Clear+Vivid with Alan Alda and previously hosted Science Clear + Vivid.",https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Alan_Alda_2015.jpg/300px-Alan_Alda_2015.jpg,male,"American actor, author, screenwriter, podcast host and director"
Alan Arkin,"Alan Wolf Arkin (March 26, 1934 – June 29, 2023) was an American actor and filmmaker. In a career spanning seven decades, he received numerous accolades, including an Academy Award, a BAFTA Award, a Golden Globe Award, and a Tony Award as well as nominations for six Emmy Awards.
Arkin performed in the sketch comedy group The Second City before acting on the Broadway stage, starring as David Kolowitz in the Joseph Stein play Enter Laughing in 1963, for which he won the Tony Award for Best Featured Actor in a Play. He returned to Broadway acting in the comedic play Luv (1964), and directed Neil Simon's The Sunshine Boys (1971), for which he received a Tony Award nomination.
Arkin gained stardom with his roles in the films The Russians Are Coming, the Russians Are Coming (1966), Wait Until Dark (1967), The Heart is a Lonely Hunter (1968), Popi (1969), Catch-22 (1970), Freebie and the Bean, (1974), and The In-Laws (1979). He later took on supporting roles in Edward Scissorhands (1990), Glengarry Glen Ross (1992), Grosse Pointe Blank (1997), Slums of Beverly Hills (1998), Thirteen Conversations About One Thing (2001), Sunshine Cleaning (2008), Get Smart (2008), and Argo (2012). For his performance as a foul-mouthed grandfather in Little Miss Sunshine (2006), he won the Academy Award for Best Supporting Actor. Arkin also directed three films, including the black comedy Little Murders (1971).
His television roles included Leon Felhendler in Escape from Sobibor (1987), and as Harry Rowen in The Pentagon Papers (2003) for which he earned Emmy nominations respectively for Outstanding Lead Actor in a Limited Series or Movie and Outstanding Supporting Actor in a Limited Series or Movie. From 2015 to 2016, he voiced J. D. Salinger in the Netflix animated series BoJack Horseman. From 2018 to 2019, he starred as a talent agent in the Netflix comedy series The Kominsky Method, earning two consecutive nominations for the Primetime Emmy Award for Outstanding Supporting Actor in a Comedy Series. Arkin died from congestive heart failure at his San Marcos home in San Diego County, California on June 29, 2023, at the age of 89.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Alan_Arkin_-_1975.jpg/300px-Alan_Arkin_-_1975.jpg,male,American actor and filmmaker
